Traj_id,Time_list
87,"[1470036518,1470036548,1470036588,1470036648,1470036658,1470036748,1470036918,1470038315,1470038409,1470038429]"
88,"[1470037256,1470037326,1470037660,1470037662,1470037682,1470038294,1470038297,1470038317,1470038332.0,1470038357,1470038403]"
89,"[1470037229,1470037233,1470037243,1470037273,1470037283,1470037293,1470037303,1470038326,1470038332,1470038439]"
90,"[1470037222.0,1470037250,1470037280,1470037290,1470037300,1470037312,1470037670.0,1470038310,1470038320,1470038330,1470038360]"
91,"[1470037257,1470037273,1470037293,1470037307,1470037638,1470037648,1470037664,1470038337,1470038417,1470038421]"
92,"[1470037318,1470037657,1470037668,1470037677,1470037689,1470037810,1470037838,1470038256,1470038291,1470038465,1470038466,1470038467]"
93,"[1470036877,1470036887,1470036917,1470036927,1470037658.0,1470037686,1470038305,1470038313,1470038333,1470038373]"
94,"[1470036865,1470036935,1470036948,1470037325,1470037645,1470037655,1470037685,1470038293,1470038320,1470038343,1470038431]"
95,"[1470037242,1470037248,1470037258,1470037293,1470037644,1470037655,1470037825,1470037855,1470037866,1470038255.8,1470038450.0]"
96,"[1470036925,1470037283,1470037303,1470037313,1470037323,1470037653.0,1470037673,1470037847,1470038249,1470038256,1470038279,1470038469]"
97,"[1470035000,1470035040,1470035500,1470035520,1470035530,1470035810,1470035820,1470035840,1470035880,1470035890,1470037558,1470037562]"
98,"[1470036881.0,1470036908.0,1470036971.0,1470037634,1470037654,1470037674,1470037684,1470038298,1470038341,1470038351,1470038441.0,1470038468.0]"
99,"[1470036902,1470036922,1470037282,1470037321.0,1470037359,1470037369,1470037379,1470037383,1470037430,1470037434,1470037438,1470037442,1470037560,1470037570,1470037585]"
100,"[1470037225,1470037665,1470037673,1470037689,1470037713,1470037762.8888888,1470038018.0,1470038063,1470038066,1470038067,1470038097]"
101,"[1470037260,1470037675,1470037679,1470037684,1470037689.5,1470037813.5,1470037824,1470037834,1470037854.0,1470038237]"
102,"[1470037234.0,1470037276.5,1470037659,1470037819,1470038232,1470038242,1470038282,1470038432,1470038436,1470038440,1470038450]"
103,"[1470035118,1470035128,1470035133,1470035136,1470035139,1470035142,1470035146,1470035156,1470035166,1470038313.0,1470038335,1470038346]"
104,"[1470037680,1470037931,1470037938,1470037944,1470037947,1470037971,1470037981,1470037991,1470038011,1470038069,1470038144,1470038225,1470038229,1470038231,1470038245]"
105,"[1470035123.0,1470035153,1470035163,1470038301,1470038311,1470038331,1470038351,1470038361,1470038391,1470038401]"
106,"[1470037261.5,1470037272,1470037285,1470037300,1470037817,1470037822,1470037846,1470038240.0,1470038255,1470038449]"
107,"[1470036931,1470036942,1470036952,1470037287,1470037308,1470037654,1470038284,1470038294,1470038304,1470038322,1470038432,1470038471]"
108,"[1470036822,1470036852,1470036892,1470036942,1470036952,1470036962,1470036972,1470037636,1470037686,1470038291,1470038348.0,1470038393,1470038398]"
109,"[1470036869,1470036879,1470036899,1470036909,1470036919,1470037634,1470037685,1470037706,1470037716,1470037721,1470037725,1470037755.0,1470037774,1470037784,1470037803,1470038010,1470038030,1470038070,1470038230]"
110,"[1470036865.0,1470036890,1470036900,1470036910,1470036950,1470036957,1470036960,1470036962,1470037315,1470037325,1470038305.6666667]"
111,"[1470036866.0,1470036982.0,1470037022,1470037107.0,1470037193,1470037303,1470037401,1470037418,1470037428,1470037498,1470037528,1470037714]"
112,"[1470036729,1470036897,1470036907,1470036997,1470037007,1470037027,1470037032,1470037042,1470037048,1470037079.0,1470037104,1470038302,1470038461.6666667]"
113,"[1470036863,1470036873,1470036903,1470036919,1470036924,1470036947.0,1470036970,1470038333,1470038441,1470038451,1470038459,1470038467]"
114,"[1470037231,1470037246.5,1470037275,1470037321,1470037668,1470037685,1470037846,1470037997,1470038000,1470038004,1470038025,1470038034.5,1470038046,1470038077,1470038086,1470038096]"
115,"[1470036910,1470036920,1470036930,1470036973,1470037180,1470037200,1470037270,1470037280,1470037300,1470037310,1470037320,1470037650.8,1470037670,1470038273,1470038289,1470038464]"
116,"[1470036855,1470036868,1470037279,1470037748,1470037768,1470037778,1470038128,1470038134,1470038146,1470038218,1470038228]"
117,"[1470037213,1470037223,1470037253.0,1470037283,1470037293,1470037303,1470037313,1470037323,1470038293,1470038343,1470038435]"
118,"[1470037253.0,1470037298,1470037666.0,1470037677,1470037832,1470037842,1470038355,1470038375,1470038385,1470038395]"
119,"[1470037186,1470037196,1470037285,1470037644,1470037661.25,1470038300,1470038310,1470038340,1470038350,1470038353,1470038433]"
120,"[1470037228,1470037260,1470037272,1470037289,1470037299,1470037329,1470037647,1470037667,1470037681.5,1470038320.0,1470038344]"
121,"[1470036861,1470036893,1470036912,1470036922,1470036932,1470037300,1470037310,1470037640,1470037660,1470037670,1470037814,1470037824,1470037863.0,1470038065,1470038135,1470038203]"
122,"[1470037219,1470037241,1470037838,1470038141,1470038191,1470038261,1470038267,1470038315,1470038321,1470038386.0,1470038398,1470038408,1470038413]"
123,"[1470037256.0,1470037822,1470037832,1470038002,1470038032,1470038042,1470038060,1470038110.0,1470038170,1470038210,1470038371,1470038383,1470038413,1470038423,1470038442]"
124,"[1470036854,1470036884.0,1470036914,1470036924,1470036949.0,1470037633.0,1470037653,1470038302,1470038312,1470038422,1470038428]"
125,"[1470037279,1470037282,1470037302,1470037332,1470037636,1470037656,1470037666,1470038316,1470038436,1470038446,1470038454,1470038464,1470038472]"
126,"[1470037214,1470037218,1470037221,1470037229,1470037233,1470037238,1470037247,1470037251,1470038313.25,1470038329,1470038389]"
127,"[1470037214,1470037234,1470037304,1470037314,1470037316,1470037326,1470037641,1470037676,1470038299,1470038309,1470038381,1470038387]"
128,"[1470036868,1470036938,1470036968,1470037275,1470037277,1470037287,1470037318,1470037639,1470038296,1470038336,1470038346,1470038415.5]"
