node,lng,lat
303,121.4617378,31.236107
304,121.4622616,31.2334955
305,121.4556172,31.2376933
306,121.4553237,31.2372112
307,121.4529027,31.2354854
308,121.4515644,31.2352085
309,121.4508215,31.2349982
310,121.4501131,31.2348306
311,121.4491054,31.2346134
312,121.4474478,31.2340976
313,121.4464124,31.2243016
314,121.4494316,31.2253505
315,121.4511436,31.2256985
316,121.4517321,31.2256994
317,121.4525926,31.225701
318,121.4540221,31.225722
319,121.4560499,31.2257569
320,121.4571446,31.2257726
321,121.4643826,31.2259112
322,121.4647123,31.2258322
323,121.4653791,31.2254191
324,121.512122,31.2294258
325,121.5102202,31.2287344
326,121.5135237,31.2252438
327,121.522344,31.22802
328,121.5177036,31.2265907
329,121.5158283,31.2259472
330,121.5148951,31.2256476
331,121.5028412,31.2377876
332,121.5024691,31.2378417
333,121.5023106,31.2377922
334,121.5022165,31.2376725
335,121.5021917,31.2375046
336,121.509424,31.2357663
337,121.5075089,31.2363546
338,121.5046457,31.2371938
339,121.50559,31.2340338
340,121.5051817,31.2338955
341,121.5048433,31.2353983
342,121.5026178,31.2348753
343,121.4998875,31.234627
344,121.499336,31.2345903
345,121.4996319,31.2366248
346,121.4962164,31.2397516
347,121.4963243,31.2400436
348,121.4964205,31.2403992
349,121.4963062,31.2405071
350,121.4962069,31.240544
351,121.4960011,31.2405312
352,121.4959119,31.2404846
353,121.4958459,31.2404189
354,121.4957969,31.240253
355,121.4957986,31.240237
356,121.495827,31.2401512
357,121.4958852,31.2400772
358,121.4960242,31.2400015
359,121.4961689,31.2399899
360,121.499086,31.2366797
361,121.4985787,31.2367197
362,121.4983046,31.2366968
363,121.4980621,31.2366417
364,121.497731,31.2365484
365,121.4967337,31.2366811
366,121.4964191,31.2371909
367,121.4963117,31.2375409
368,121.4956973,31.2400187
369,121.495469,31.2399059
370,121.4957729,31.2399294
371,121.4959675,31.2400225
372,121.4962507,31.2400082
373,121.4966326,31.2400152
374,121.4974341,31.2398352
375,121.4976307,31.2397799
376,121.4984377,31.239463
377,121.4990638,31.2392209
378,121.4998526,31.2388591
379,121.5019475,31.2379687
380,121.5020678,31.2377802
381,121.5020634,31.2376297
382,121.5249212,31.20329
383,121.5263693,31.2069386
384,121.5300862,31.2164155
385,121.5323246,31.2219947
386,121.5328319,31.2228384
387,121.5334047,31.2235234
388,121.4418065,31.2204399
389,121.4413376,31.2215492
390,121.4409736,31.2226839
391,121.5354031,31.2250421
392,121.4506079,31.26114
393,121.4564288,31.2624958
394,121.4583712,31.2632154
395,121.4600074,31.2638516
396,121.4247621,31.2128709
397,121.4235746,31.2122931
398,121.4205985,31.2119548
399,121.4129043,31.2102778
400,121.4088084,31.2090557
401,121.4269966,31.2198273
402,121.4284465,31.2162148
403,121.4283022,31.2161517
404,121.4271691,31.2156668
405,121.447046,31.2244029
406,121.4389367,31.2222047
407,121.4397947,31.2226474
408,121.4485995,31.2316264
409,121.4492336,31.2308037
410,121.449928,31.2301537
411,121.4502606,31.2296491
412,121.4504671,31.2292015
413,121.4511711,31.2283882
414,121.436937,31.2126308
415,121.4415697,31.2123984
416,121.4478673,31.213131
417,121.451621,31.2141768
418,121.4538782,31.2148284
419,121.4562915,31.2153672
420,121.4069932,31.2076103
421,121.4073184,31.2082432
422,121.4073394,31.2086762
423,121.4073889,31.2098626
424,121.4074507,31.2100917
425,121.4077467,31.2112547
426,121.4081646,31.2122918
427,121.4081484,31.2131381
428,121.408144,31.214023
429,121.4058578,31.2325306
430,121.4069977,31.2353446
431,121.4079697,31.2367242
432,121.408995,31.2381282
433,121.4095192,31.2389459
434,121.4104646,31.2402472
435,121.4109327,31.2407817
436,121.4118551,31.2416161
437,121.4123182,31.2419547
438,121.4062948,31.2281058
439,121.4058515,31.2294283
440,121.4055778,31.2307039
441,121.4056363,31.2315247
442,121.495703,31.2231848
443,121.4941653,31.2231122
444,121.4938581,31.2232003
445,121.4935127,31.2233695
446,121.4924585,31.2237464
447,121.4903636,31.2241111
448,121.486292,31.2238462
449,121.482945,31.2227229
450,121.4774505,31.220563
451,121.5843752,31.2386169
452,121.5852799,31.2389833
453,121.5894188,31.2415671
454,121.5893746,31.2416457
