section_id,s_node,e_node,length
647,1887,370,1.549898248
648,370,9951,1.993806476
649,1332,7796,8.044358021
650,7796,16599,8.634116979
651,16599,62778,0.56234325
652,62778,16598,0.550158673
653,16598,7795,6.220070184
654,7795,54074,3.724013689
655,54074,16587,3.872635983
656,6887,54087,0.2986523
657,54087,68601,0.351107844
658,68601,54088,0.244345762
659,54088,6888,0.44928096
660,6888,54089,0.52688075
661,54089,54076,0.647304495
662,54076,54075,1.426945413
663,54075,6889,2.814375489
664,6889,16605,1.226807857
665,16605,54062,0.57540509
666,54062,54061,0.624302066
667,54061,341,0.904843493
668,341,7231,0.77666963
669,2801,25069,1.597860539
670,25069,1360,3.386143224
671,1360,10035,8.449173021
672,10035,2799,2.235226056
673,2799,10036,1.746437441
674,10036,23643,5.24714395
675,2798,1371,4.066503146
676,1371,53507,0.674151549
677,50344,68207,4.765983217
678,68207,30572,19.29126391
679,72576,1582,1.292998207
680,1582,53822,10.25083411
681,53822,1374,8.39284001
682,1374,53823,4.223096127
683,53823,11503,4.472722259
684,11503,1583,2.785247035
685,15513,74679,31.46974145
686,74679,75510,25.07820599
687,75510,40291,28.31098715
688,1463,54464,1.792513005
689,54464,16072,1.717707988
690,16072,38335,2.935681959
691,38335,54461,3.143903912
692,54461,1464,4.271039268
693,1464,16061,6.532510856
694,16061,2340,6.240329758
695,2340,38334,4.495767347
696,38334,53390,0.673286439
697,53390,1453,14.14011117
698,49,63179,6.15276789
699,63179,50,0.858979777
700,50,63178,0.841549602
701,63178,1512,9.864102104
702,48,63181,3.716388229
703,63181,63180,6.9587417
704,63180,49,3.651957382
705,10012,386,3.0024208
706,386,72484,1.888008729
707,72484,8211,1.692636996
708,8211,387,2.074474214
709,387,9997,6.241119271
710,1091,67801,12.3211954
711,703,53391,12.01487536
712,53391,737,1.025599267
713,737,16065,13.8587252
714,16065,16067,2.583717718
715,16067,16069,25.30598546
716,1446,45815,11.87300524
717,45815,45819,4.85911
718,45819,5186,20.61440347
719,16383,65736,9.865477777
720,65736,16289,3.000280017
721,16289,16290,8.410575563
722,16290,16380,9.873938178
723,9577,522,3.744818253
724,522,29014,4.695185998
725,29014,29013,3.548136933
726,29013,7184,3.796368387
727,7184,523,2.902680603
728,523,54413,2.406209107
729,54413,29026,3.383499072
730,29026,524,2.130216486
731,524,29017,2.293676687
732,29017,29025,2.792670193
733,29025,29023,2.539085713
734,29023,525,1.840941013
735,743,29027,3.027398267
736,29027,29012,3.55262652
737,29012,744,3.595842496
738,744,29022,3.966628701
739,29022,745,6.772706873
740,5559,63502,4.79456568
741,63502,56214,12.20788011
742,56214,133,4.414983514
743,133,56215,8.35581128
744,56215,56216,4.856023874
745,56216,56217,4.008440589
746,56217,132,3.221286132
747,132,56218,2.812451628
748,56218,56220,2.151525917
749,56220,131,1.679058745
750,131,130,4.143872493
751,130,56222,3.628122289
752,56222,10980,4.516175573
753,10980,56223,18.71309747
754,56223,56224,5.152250964
755,56224,56225,4.999716859
756,56225,129,9.977344786
757,129,54685,2.454471003
758,54685,128,1.547357779
759,128,54686,2.512137262
760,54686,127,2.54202956
761,127,54729,2.555566627
762,54729,126,2.627232561
763,1176,1177,6.104303278
764,1177,1178,3.709781409
765,1178,1179,5.882730072
766,1179,8978,3.001678499
767,8978,1180,1.574699113
768,1180,1181,5.26395927
769,1181,1182,5.33350494
770,1182,1183,17.75634375
771,1460,15515,34.53176381
772,15515,15513,6.837648245
773,1453,1729,2.240746927
774,30560,30548,1.132753027
775,30548,68578,1.842335925
776,68578,70086,6.850649057
777,70086,10016,20.67635995
778,10016,1492,4.456447922
779,1492,13214,2.404333328
780,13214,10026,14.71584018
781,10026,70087,11.09457713
782,70087,74051,9.483984172
783,74051,3356,0.875944544
784,3356,61,0.59185037
785,61,74055,0.788301819
786,74055,68293,16.90611402
787,68293,1671,1.339539647
788,1671,62,1.687056744
789,14495,1528,15.80991293
790,1528,10278,1.326901471
791,10278,1529,1.229654703
792,1529,1530,15.18787812
793,1530,51049,1.139137307
794,51049,51055,2.080338509
795,72668,72669,2.219075358
796,72669,72670,1.691762737
797,72670,3,5.003658559
798,3,72671,5.75532428
799,72671,66563,9.05673599
800,66563,66564,3.162352505
801,66564,124,3.822591798
802,1381,1382,2.043067172
803,14380,1518,17.29156464
804,1518,60508,4.7706481
805,1520,29175,14.50330522
806,29175,1380,6.2281337
807,1380,1381,7.432819335
808,1521,14377,11.31131965
809,14420,14423,4.950623887
810,14423,1522,12.34984503
811,1522,14382,3.897682658
812,14382,64544,3.696939491
813,1516,72694,4.044246413
814,72694,1517,12.67323293
815,1517,1839,8.279579046
816,1839,582,0.319972403
817,1510,1836,0.458181266
818,1836,51014,3.570369729
819,395,193,14.08772912
820,193,194,9.241475457
821,194,195,4.146616829
822,195,196,8.682512513
